NO,TICKER,PCC
0,ADS.DE,-0.050676784577004856
1,ALV.DE,-0.18878121108213863
2,BAS.DE,-0.09766737818172
3,BAYN.DE,-0.05136277459872454
4,BEI.DE,5.27925032002783e-17
5,BMW.DE,-0.25969061482679195
6,CON.DE,0.1287385178195379
7,1COV.DE,-0.10928619092670123
8,DAI.DE,-0.013827015838908382
9,DBK.DE,0.18097598601638887
10,DB1.DE,3.2211164898074645e-17
11,LHA.DE,0.03908223919301323
12,DPW.DE,-0.1972548686018934
13,DTE.DE,-2.5949190716937313e-17
14,EOAN.DE,-0.07182216201390385
15,FRE.DE,0.021234835993547963
16,FME.DE,-0.22629591407674354
17,HEI.DE,-0.18910960066012672
18,HEN3.DE,0.13124598401227075
19,IFX.DE,-0.17141858876186533
20,LIN.DE,-0.013663634449462116
21,MRK.DE,2.305538675384061e-17
22,MTX.DE,-0.0674126330113955
23,MUV2.DE,0.0
24,RWE.DE,0.012568502277373604
25,SAP.DE,-0.4810104884474391
26,SIE.DE,-0.11517625465350836
27,VOW3.DE,0.04499553084077763
28,VNA.DE,-5.1321444689622196e-17
29,WDI.DE,-0.044255566708396386
