NO,TICKER,PCC
0,ADS.DE,2.6387910925387752e-17
1,ALV.DE,-5.5264328686311056e-17
2,BAS.DE,6.302377342643986e-18
3,BAYN.DE,-8.922671170109135e-18
4,BEI.DE,-7.457792149501293e-17
5,BMW.DE,5.006151929618214e-17
6,CON.DE,1.3352011662878301e-17
7,1COV.DE,2.011363673429173e-17
8,DAI.DE,5.493206721709983e-17
9,DBK.DE,7.846134494967944e-18
10,DB1.DE,-3.713910196541805e-17
11,LHA.DE,6.510031853567281e-18
12,DPW.DE,3.9434246540553015e-17
13,DTE.DE,4.8441767698588196e-17
14,EOAN.DE,-4.596410681789767e-17
15,FRE.DE,1.9649720697449313e-17
16,FME.DE,3.0284416581237254e-17
17,HEI.DE,2.94751211068626e-17
18,HEN3.DE,-2.7258303393975757e-17
19,IFX.DE,-2.3839417926263054e-17
20,LIN.DE,4.638484455474756e-18
21,MRK.DE,4.512139366275633e-17
22,MTX.DE,-5.069618589447163e-17
23,MUV2.DE,2.2824324342563394e-17
24,RWE.DE,-3.125286122882794e-17
25,SAP.DE,-6.429256613146936e-17
26,SIE.DE,1.7499759407921706e-17
27,VOW3.DE,3.7278071200886014e-17
28,VNA.DE,3.268623838983468e-17
29,WDI.DE,-3.6757258160179837e-17
