NO,TICKER,PCC
0,ADS.DE,0.07141581181335384
1,ALV.DE,-0.12621664253736856
2,BAS.DE,-0.16907142303914255
3,BAYN.DE,0.18471745429772815
4,BEI.DE,-0.008692069725418224
5,BMW.DE,-0.22225304124235506
6,CON.DE,-0.14518741655024975
7,1COV.DE,-0.14213758572333657
8,DAI.DE,-0.0610423397763636
9,DBK.DE,-0.11211245379297147
10,DB1.DE,0.08277335325215224
11,LHA.DE,-0.13900449767314232
12,DPW.DE,-0.029118288597952208
13,DTE.DE,0.024059811957592516
14,EOAN.DE,0.13146717743045522
15,FRE.DE,-0.20241333614771193
16,FME.DE,-0.31840483300802974
17,HEI.DE,-0.0676349103688917
18,HEN3.DE,0.15868332230476853
19,IFX.DE,-0.043540020929006204
20,LIN.DE,0.07880811023248084
21,MRK.DE,0.01833242943262261
22,MTX.DE,0.04409958438479029
23,MUV2.DE,-0.10112215413550225
24,RWE.DE,0.038341138274985885
25,SAP.DE,0.06060175691568612
26,SIE.DE,0.07012223056747281
27,VOW3.DE,-0.08913928039833664
28,VNA.DE,0.05645099869310425
29,WDI.DE,-0.025982123610805704
