TICKER,RANK
ADS.DE,-0.0015793666
ALV.DE,-0.0007794688
BAS.DE,-0.0009062055
BAYN.DE,-0.0019543306
BEI.DE,-0.0009719159
BMW.DE,-0.0008789496
CON.DE,-0.0016587743
1COV.DE,-0.001925153
DAI.DE,-0.0010379863
DBK.DE,-0.0021106467
DB1.DE,-0.0008278999
LHA.DE,-0.0019511638
DPW.DE,-0.0009341033
DTE.DE,-0.0007075507
EOAN.DE,-0.0007277198
FRE.DE,-0.0008641291
FME.DE,-0.0018437496
HEI.DE,-0.0010617105
HEN3.DE,-0.001080811
IFX.DE,-0.0019425094
LIN.DE,-0.001800824
MRK.DE,-0.0010015382
MTX.DE,-0.0011628701
MUV2.DE,-0.0007642441
RWE.DE,-0.0012668387
SAP.DE,-0.0013057326
SIE.DE,-0.0008387543
VOW3.DE,-0.0010299816
VNA.DE,-0.0008628158
WDI.DE,-0.0036325201
