TICKER,RANK
ADS.DE,0.001614084
ALV.DE,0.0006822651
BAS.DE,0.0005835306
BAYN.DE,0.0003649103
BEI.DE,0.0003660101
BMW.DE,0.0001213377
CON.DE,0.0001246077
1COV.DE,0.0003645371
DAI.DE,0.0001215466
DBK.DE,0.0005346873
DB1.DE,0.0005346873
LHA.DE,0.001852779
DPW.DE,0.0009398617
DTE.DE,0.0009946881
EOAN.DE,0.0009858431
FRE.DE,-0.0003463028
FME.DE,-0.0003463028
HEI.DE,0.0008323184
HEN3.DE,0.000364263
IFX.DE,0.0010003205
LIN.DE,0.0009398617
MRK.DE,0.0003661055
MTX.DE,0.001852779
MUV2.DE,0.0006822651
RWE.DE,0.0009858431
SAP.DE,0.0009934816
SIE.DE,0.0009551098
VOW3.DE,0.0001201391
VNA.DE,0.0004536204
WDI.DE,0.0007422747
