NO,TICKER,PCC
0,ADS.DE,0.012562370085540264
1,ALV.DE,0.04119822133910878
2,BAS.DE,0.05746985303325306
3,BAYN.DE,0.006135347009110332
4,BEI.DE,0.06121421229417088
5,BMW.DE,-0.033981436829269726
6,CON.DE,0.06762484812464714
7,1COV.DE,0.0855979970634307
8,DAI.DE,0.0655297590388495
9,DBK.DE,0.11436217439559898
10,DB1.DE,-0.04088509422973307
11,LHA.DE,-0.011929351064640279
12,DPW.DE,-0.07276954197239277
13,DTE.DE,3.82435008146749e-17
14,EOAN.DE,6.89461602268465e-17
15,FRE.DE,8.668994425345285e-19
16,FME.DE,-0.06822592855697243
17,HEI.DE,-0.03556724865964092
18,HEN3.DE,-0.007636775519112026
19,IFX.DE,0.02413257233097975
20,LIN.DE,0.01376261298414433
21,MRK.DE,0.029398163797458913
22,MTX.DE,0.023666345110603376
23,MUV2.DE,0.023158598326489442
24,RWE.DE,-0.008131894006994666
25,SAP.DE,0.019522396007511135
26,SIE.DE,-0.05194316011878498
27,VOW3.DE,0.018462067302663702
28,VNA.DE,0.05583392477365663
29,WDI.DE,-0.035789081749058274
